3.910000000000000000e+02 0.000000000000000000e+00 2.350000000000000000e+02 3.940000000000000000e+02
1.150000000000000000e+03 2.750000000000000000e+02 1.560000000000000000e+02 4.780000000000000000e+02
3.860000000000000000e+02 9.500000000000000000e+01 1.353000000000000000e+03 2.140000000000000000e+02
3.500000000000000000e+01 1.100000000000000000e+02 3.380000000000000000e+02 3.540000000000000000e+02
1.050000000000000000e+02 1.400000000000000000e+01 1.000000000000000000e+00 1.478000000000000000e+03
2.920000000000000000e+02 0.000000000000000000e+00 3.520000000000000000e+02 4.070000000000000000e+02
2.630000000000000000e+02 6.200000000000000000e+01 2.580000000000000000e+02 1.680000000000000000e+02
2.620000000000000000e+02 1.040000000000000000e+02 2.840000000000000000e+02 2.430000000000000000e+02
1.030000000000000000e+02 7.000000000000000000e+01 6.000000000000000000e+01 6.320000000000000000e+02
8.500000000000000000e+01 8.000000000000000000e+01 1.020000000000000000e+02 8.300000000000000000e+01
