8.100000000000000000e+01 1.620000000000000000e+02 1.860000000000000000e+02 1.400000000000000000e+01
4.700000000000000000e+01 7.900000000000000000e+01 7.400000000000000000e+01 4.000000000000000000e+01
5.100000000000000000e+01 1.180000000000000000e+02 2.920000000000000000e+02 1.500000000000000000e+02
1.440000000000000000e+02 7.400000000000000000e+01 1.360000000000000000e+02 2.030000000000000000e+02
9.500000000000000000e+01 0.000000000000000000e+00 1.000000000000000000e+01 1.020000000000000000e+02
3.330000000000000000e+02 2.600000000000000000e+01 3.200000000000000000e+01 5.600000000000000000e+01
0.000000000000000000e+00 3.500000000000000000e+01 0.000000000000000000e+00 9.300000000000000000e+01
6.600000000000000000e+01 4.210000000000000000e+02 8.500000000000000000e+01 1.210000000000000000e+02
5.800000000000000000e+01 2.050000000000000000e+02 1.400000000000000000e+01 4.300000000000000000e+01
2.380000000000000000e+02 3.800000000000000000e+01 1.230000000000000000e+02 2.680000000000000000e+02
